text,label
มีงานต้องทำ,createTask
มีการบ้านต้องส่ง,createTask
มีงาน,createTask
เตือนหน่อย,createTask
เตือน,createTask
ต้องทำงาน,createTask
ต้องทำยังไม่ได้ทำ,createTask
มีงานอะไรบ้าง,displayTask
งานอะไรยังไม่ทำ,displayTask
เหลืองานอะไรบ้าง,displayTask
มีอะไรที่ยังไม่ได้ทำ,displayTask
มีอะไรต้องทำ,displayTask
เหลืออะไรบ้าง,displayTask
เหลืองานมีอะไรบ้าง,displayTask
เหลืออะไร,displayTask
มีงานอะไรต้องทำ,displayTask
งานเสร็จแล้ว,clearTask
เสร็จแล้ว,clearTask
เรียบร้อย,clearTask
เสร็จละ,clearTask
เสร็จ,clearTask
หมดแล้ว,clearTask
